Environmental Brain Cube Suitability Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
RUN3,92872,84.27,3345,3375,NORMAL,23.07,23.07,45.77,46.10,1008.04,1008.10,20.62,20.62,5.67,5.89,4.86,4.88,0.230,0.402,-0.759,-0.644,8.809,9.063,0.66,1.02,0.85,1.19,-1.82,-1.42,0,0,0
RUN3,94903,86.30,3329,3378,NORMAL,23.07,23.07,45.50,45.73,1008.08,1008.10,20.56,20.62,5.67,5.89,4.87,4.90,0.237,0.388,-0.778,-0.637,8.895,9.046,0.53,0.96,0.96,1.26,-1.73,-1.47,0,0,0
RUN3,96908,88.31,3330,3372,NORMAL,23.06,23.06,45.23,45.44,1008.06,1008.09,20.56,20.62,5.66,5.89,4.87,4.89,0.232,0.381,-0.819,-0.658,8.869,9.058,0.60,1.03,0.85,1.21,-1.79,-1.49,0,0,0
RUN3,98939,90.34,3340,3376,NORMAL,23.05,23.06,45.14,45.18,1008.07,1008.10,20.62,20.62,5.66,5.89,4.87,4.90,0.266,0.378,-0.785,-0.649,8.845,9.046,0.61,0.98,0.93,1.21,-1.80,-1.44,0,0,0
RUN3,100971,92.37,3319,3377,NORMAL,23.05,23.05,44.98,45.05,1008.07,1008.08,20.62,20.62,5.66,5.89,4.86,4.89,0.237,0.397,-0.766,-0.682,8.874,9.056,0.60,1.01,0.85,1.22,-1.70,-1.42,0,0,0
RUN3,102978,94.38,3323,3375,NORMAL,23.05,23.05,44.82,44.91,1008.07,1008.12,20.56,20.56,5.66,5.89,4.87,4.89,0.266,0.364,-0.761,-0.651,8.890,9.060,0.64,1.07,0.95,1.25,-1.83,-1.47,0,0,0
RUN3,104981,96.38,3313,3361,NORMAL,23.04,23.04,44.71,44.74,1008.09,1008.10,20.56,20.62,5.67,5.89,4.86,4.89,0.249,0.364,-0.776,-0.656,8.879,9.032,0.71,1.03,0.88,1.27,-1.76,-1.42,0,0,0
RUN3,106984,98.39,3345,4076,BRIGHT,23.03,23.04,44.72,44.75,1008.09,1008.10,20.56,20.56,5.66,5.89,4.87,4.96,0.261,0.373,-0.795,-0.675,8.898,9.022,0.64,1.01,0.90,1.31,-1.76,-1.36,0,0,0
RUN3,109015,100.42,4031,4080,BRIGHT,23.03,23.03,44.64,44.67,1008.08,1008.09,20.56,20.62,5.66,5.89,4.91,4.93,0.254,0.385,-0.776,-0.658,8.881,9.089,0.66,0.96,0.86,1.22,-1.83,-1.36,0,0,0
RUN3,111047,102.45,4019,4080,BRIGHT,23.03,23.03,44.66,44.70,1008.06,1008.09,20.56,20.56,5.67,5.89,4.90,4.94,0.254,0.369,-0.776,-0.668,8.847,9.044,0.73,1.06,0.89,1.29,-1.87,-1.48,0,0,0
RUN3,113079,104.48,4023,4075,BRIGHT,23.03,23.04,44.64,44.70,1008.06,1008.09,20.56,20.56,5.66,5.88,4.90,4.93,0.239,0.378,-0.778,-0.685,8.821,9.003,0.69,1.11,0.98,1.28,-1.73,-1.35,0,0,0
RUN3,115084,106.49,4023,4082,BRIGHT,23.02,23.03,44.56,44.63,1008.04,1008.07,20.56,20.62,5.66,5.88,4.91,4.94,0.268,0.361,-0.749,-0.656,8.919,9.065,0.71,1.02,0.88,1.11,-1.85,-1.45,0,0,0
RUN3,117115,108.52,4049,4077,BRIGHT,23.02,23.03,44.49,44.57,1008.07,1008.10,20.56,20.62,5.66,5.88,4.92,4.94,0.282,0.354,-0.764,-0.649,8.862,9.032,0.63,1.03,0.81,1.27,-1.83,-1.44,0,0,0
RUN3,119120,110.52,4025,4072,BRIGHT,23.02,23.02,44.49,44.53,1008.07,1008.09,20.56,20.62,5.65,5.88,4.91,4.93,0.270,0.364,-0.766,-0.622,8.867,9.056,0.67,1.00,0.87,1.16,-1.95,-1.45,0,0,0
